identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:987100531,28002002,AQUA(CMR)/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.68733692,,
LAADS:5299377698,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.29917431,,
LANCEMODIS:988361607,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.62107468,,
LAADS:5299411963,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.72427464,,
LANCEMODIS:987797003,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.72885132,,
LAADS:5301962362,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.60788441,,
LANCEMODIS:989069710,29002002,TERRA/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.81456375,,
LAADS:5302469993,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.52640247,,
LANCEMODIS:988446033,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.52337265,,
LAADS:5303686600,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.946331024,,
LANCEMODIS:989138482,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.939407349,,
LAADS:5303543139,29002002,TERRA/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.81393719,,
LANCEMODIS:989699372,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.34650898,,
LANCEMODIS:989746613,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.372596741,,
LAADS:5304245948,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.34164333,,
LANCEMODIS:989790108,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.34401703,,
LAADS:5304245925,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.3513422,,
LAADS:5304246306,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.347565651,,
LANCEMODIS:990412950,29002002,TERRA/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.93483734,,
LAADS:5305588423,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.21021938,,
LANCEMODIS:990480983,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.22079849,,
LAADS:5304989491,29002002,TERRA/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.93042564,,
LAADS:5310164916,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.399188042,,
LANCEMODIS:991117854,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.382069588,,
LANCEMODIS:991750070,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.51845169,,
LAADS:5310873502,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.501468658,,
LANCEMODIS:991125822,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.517003059,,
LAADS:5313218865,28002002,AQUA(CMR)/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.15526867,,
LANCEMODIS:991817341,28002002,AQUA(CMR)/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.17674637,,
LAADS:5312874411,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.52779102,,
LANCEMODIS:992423985,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.702384,,
LAADS:5315711944,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.21563816,,
LANCEMODIS:992513186,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.22064304,,
LAADS:5315349624,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.69670677,,
LANCEMODIS:993071614,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.66346645,,
LAADS:5318606651,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.47000694,,
LANCEMODIS:993150720,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.47072124,,
LAADS:5317696404,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.65537453,,
LANCEMODIS:993770401,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.77683067,,
LAADS:5320065760,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.77815437,,
LANCEMODIS:994384258,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.49723911,,
LAADS:5320482594,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.50222969,,
LANCEMODIS:993894793,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.50236702,,
LAADS:5322831437,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.38228893,,
LANCEMODIS:994473101,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.3816824,,
LAADS:5322546882,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.48863792,,
LANCEMODIS:995084950,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.66007423,,
LANCEMODIS:995087730,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.69461155,,
LAADS:5324124325,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.63980675,,
LAADS:5324124326,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.68502903,,
LAADS:5324462204,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.32495975,,
LAADS:5324462205,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.18552494,,
LANCEMODIS:995160818,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.33885193,,
LANCEMODIS:995160831,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.195775032,,
LAADS:5326019220,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.12993145,,
