identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:983539231,29002002,TERRA/MODIS,2020-04-03 01:50:00.000000,2020-04-03 01:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.3097553253174,,
LANCEMODIS:983620656,28002002,AQUA(CMR)/MODIS,2020-04-03 04:55:00.000000,2020-04-03 05:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.706615447998,,
LAADS:5287773614,29002002,TERRA/MODIS,2020-04-03 01:50:00.000000,2020-04-03 01:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.3216114044189,,
LAADS:5287773615,29002002,TERRA/MODIS,2020-04-03 03:25:00.000000,2020-04-03 03:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,5.83342456817627,,
LAADS:5287777109,29002002,TERRA/MODIS,2020-04-03 03:30:00.000000,2020-04-03 03:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.9201793670654,,
LANCEMODIS:983589977,29002002,TERRA/MODIS,2020-04-03 03:25:00.000000,2020-04-03 03:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,5.83668804168701,,
LANCEMODIS:983589901,29002002,TERRA/MODIS,2020-04-03 03:30:00.000000,2020-04-03 03:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.8723421096802,,
