identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:944808652,29002002,TERRA/MODIS,2020-02-04 02:10:00.000000,2020-02-04 02:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.74916839599609,,
LAADS:5161562044,28002002,AQUA(CMR)/MODIS,2020-02-03 04:30:00.000000,2020-02-03 04:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.4152536392212,,
LAADS:5161562613,28002002,AQUA(CMR)/MODIS,2020-02-03 06:05:00.000000,2020-02-03 06:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.62146091461182,,
LAADS:5161562931,28002002,AQUA(CMR)/MODIS,2020-02-03 06:10:00.000000,2020-02-03 06:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.56416130065918,,
LANCEMODIS:944254064,28002002,AQUA(CMR)/MODIS,2020-02-03 04:30:00.000000,2020-02-03 04:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.4483327865601,,
LANCEMODIS:944316555,28002002,AQUA(CMR)/MODIS,2020-02-03 06:05:00.000000,2020-02-03 06:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.62642002105713,,
LANCEMODIS:944317668,28002002,AQUA(CMR)/MODIS,2020-02-03 06:10:00.000000,2020-02-03 06:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.57204437255859,,
LAADS:5162006308,29002002,TERRA/MODIS,2020-02-04 02:05:00.000000,2020-02-04 02:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.0170383453369,,
LAADS:5162006432,29002002,TERRA/MODIS,2020-02-04 02:10:00.000000,2020-02-04 02:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.75328063964844,,
LANCEMODIS:945413504,29002002,TERRA/MODIS,2020-02-05 02:50:00.000000,2020-02-05 02:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.6350107192993,,
LAADS:5162120957,28002002,AQUA(CMR)/MODIS,2020-02-04 05:10:00.000000,2020-02-04 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.20016002655029,,
LAADS:5162122560,28002002,AQUA(CMR)/MODIS,2020-02-04 05:15:00.000000,2020-02-04 05:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.7439212799072,,
LANCEMODIS:944870346,28002002,AQUA(CMR)/MODIS,2020-02-04 05:10:00.000000,2020-02-04 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.21828651428223,,
LANCEMODIS:944871049,28002002,AQUA(CMR)/MODIS,2020-02-04 05:15:00.000000,2020-02-04 05:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.7402753829956,,
LANCEMODIS:945481806,28002002,AQUA(CMR)/MODIS,2020-02-05 05:55:00.000000,2020-02-05 06:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.9820928573608,,
LAADS:5162578351,29002002,TERRA/MODIS,2020-02-05 02:50:00.000000,2020-02-05 02:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.6239547729492,,
LANCEMODIS:945987204,29002002,TERRA/MODIS,2020-02-06 01:55:00.000000,2020-02-06 02:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.80809688568115,,
LANCEMODIS:946037863,28002002,AQUA(CMR)/MODIS,2020-02-06 05:00:00.000000,2020-02-06 05:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.60665225982666,,
LAADS:5164085691,29002002,TERRA/MODIS,2020-02-06 01:55:00.000000,2020-02-06 02:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.84307956695557,,
