identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:971225079,29002002,TERRA/MODIS,2020-03-16 02:00:00.000000,2020-03-16 02:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.1825714111328,,
LANCEMODIS:971231204,29002002,TERRA/MODIS,2020-03-16 02:05:00.000000,2020-03-16 02:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.7850170135498,,
LAADS:5246530434,28002002,AQUA(CMR)/MODIS,2020-03-16 05:05:00.000000,2020-03-16 05:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.6559858322144,,
LAADS:5246526964,28002002,AQUA(CMR)/MODIS,2020-03-16 05:10:00.000000,2020-03-16 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.5007295608521,,
LANCEMODIS:971305359,28002002,AQUA(CMR)/MODIS,2020-03-16 05:05:00.000000,2020-03-16 05:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.6698141098022,,
LANCEMODIS:971305393,28002002,AQUA(CMR)/MODIS,2020-03-16 05:10:00.000000,2020-03-16 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.4593725204468,,
