City,Date,Cases, Population ,Square km,PopDense,temperature,pm10,humidity,no2
CALOOCAN CITY,4/19/2020,1,"1,500,000.00",53.334,28124.64844,30,10,68.3,4.6
CALOOCAN CITY,4/20/2020,3,"1,500,000.00",53.334,28124.64844,30.3,13,68,4.6
CALOOCAN CITY,3/9/2020,2,"1,500,000.00",53.334,28124.64844,28.6,20,78.7,10.1
CALOOCAN CITY,5/8/2020,2,"1,500,000.00",53.334,28124.64844,31.9,14,69,3.7
CALOOCAN CITY,5/1/2020,1,"1,500,000.00",53.334,28124.64844,30.2,11,66.2,4.6
CITY OF LAS PIÑAS,4/27/2020,2,"590,000.00",32.69,18048.33282,29.9,6,72.7,4.2
CITY OF LAS PIÑAS,5/8/2020,2,"590,000.00",32.69,18048.33282,31.9,14,69,3.7
CITY OF LAS PIÑAS,4/4/2020,3,"590,000.00",32.69,18048.33282,28.7,13,64.2,3.2
CITY OF LAS PIÑAS,3/28/2020,7,"590,000.00",32.69,18048.33282,29.3,15,68.1,3.2
CITY OF LAS PIÑAS,3/6/2020,3,"590,000.00",32.69,18048.33282,28,12,69.2,2
CITY OF LAS PIÑAS,3/18/2020,1,"590,000.00",32.69,18048.33282,27.3,11,69,1.6
CITY OF LAS PIÑAS,3/24/2020,1,"590,000.00",32.69,18048.33282,28,9,69.2,2.2
CITY OF LAS PIÑAS,4/14/2020,2,"590,000.00",32.69,18048.33282,27.7,7,72.6,3.2
CITY OF LAS PIÑAS,2/25/2020,1,"590,000.00",32.69,18048.33282,25.5,6,75,3.4
CITY OF LAS PIÑAS,4/28/2020,1,"590,000.00",32.69,18048.33282,29.5,14,68,5.1
CITY OF LAS PIÑAS,4/30/2020,1,"590,000.00",32.69,18048.33282,29.7,8,67.5,3.1
CITY OF LAS PIÑAS,3/16/2020,9,"590,000.00",32.69,18048.33282,27,8,74,4.7
CITY OF LAS PIÑAS,4/7/2020,3,"590,000.00",32.69,18048.33282,29.4,18,70.5,3.7
CITY OF LAS PIÑAS,3/17/2020,8,"590,000.00",32.69,18048.33282,26.6,10,73,3.1
CITY OF LAS PIÑAS,3/25/2020,3,"590,000.00",32.69,18048.33282,28,9,64,1.9
CITY OF LAS PIÑAS,5/11/2020,1,"590,000.00",32.69,18048.33282,31.5,50,69.7,5.5
CITY OF LAS PIÑAS,3/4/2020,2,"590,000.00",32.69,18048.33282,26.1,10,77.5,3.8
CITY OF LAS PIÑAS,3/20/2020,4,"590,000.00",32.69,18048.33282,28.6,11,73.2,3.2
CITY OF LAS PIÑAS,3/30/2020,10,"590,000.00",32.69,18048.33282,29.3,18,64,2.3
CITY OF LAS PIÑAS,4/11/2020,1,"590,000.00",32.69,18048.33282,29,10,72.7,3.2
CITY OF LAS PIÑAS,3/21/2020,3,"590,000.00",32.69,18048.33282,29,19,68.5,2.8
CITY OF LAS PIÑAS,4/15/2020,1,"590,000.00",32.69,18048.33282,29,16,74,3.7
CITY OF LAS PIÑAS,3/29/2020,2,"590,000.00",32.69,18048.33282,29.7,13,66.3,2.8
CITY OF LAS PIÑAS,3/3/2020,1,"590,000.00",32.69,18048.33282,25.4,4,75.2,2.1
CITY OF LAS PIÑAS,3/9/2020,2,"590,000.00",32.69,18048.33282,28.6,20,78.7,10.1
CITY OF LAS PIÑAS,3/26/2020,5,"590,000.00",32.69,18048.33282,28.8,12,64.5,2.3
CITY OF LAS PIÑAS,4/5/2020,6,"590,000.00",32.69,18048.33282,29.2,19,64.2,5.5
CITY OF LAS PIÑAS,3/2/2020,2,"590,000.00",32.69,18048.33282,27,8,66.5,5.9
CITY OF LAS PIÑAS,3/27/2020,1,"590,000.00",32.69,18048.33282,28.8,12,70.5,2.8
CITY OF LAS PIÑAS,3/31/2020,8,"590,000.00",32.69,18048.33282,31.9,11,56.2,2.3
CITY OF LAS PIÑAS,3/23/2020,4,"590,000.00",32.69,18048.33282,28.6,12,68.7,1.9
CITY OF LAS PIÑAS,4/8/2020,5,"590,000.00",32.69,18048.33282,29.1,20,70.5,6.4
CITY OF LAS PIÑAS,3/12/2020,3,"590,000.00",32.69,18048.33282,28.6,15,64.8,3.5
CITY OF LAS PIÑAS,4/20/2020,1,"590,000.00",32.69,18048.33282,30.3,13,68,4.6
CITY OF LAS PIÑAS,4/2/2020,2,"590,000.00",32.69,18048.33282,29.1,11,65.2,2
CITY OF LAS PIÑAS,3/1/2020,1,"590,000.00",32.69,18048.33282,27.2,10,69.7,2.2
CITY OF LAS PIÑAS,4/9/2020,2,"590,000.00",32.69,18048.33282,29.8,10,71,3.7
CITY OF LAS PIÑAS,3/11/2020,5,"590,000.00",32.69,18048.33282,28.3,17,74.2,5.9
CITY OF LAS PIÑAS,4/19/2020,2,"590,000.00",32.69,18048.33282,30,10,68.3,4.6
CITY OF LAS PIÑAS,3/10/2020,2,"590,000.00",32.69,18048.33282,29.1,35,80.7,23.4
CITY OF LAS PIÑAS,5/6/2020,1,"590,000.00",32.69,18048.33282,31.3,16,72.5,5.1
CITY OF LAS PIÑAS,4/1/2020,7,"590,000.00",32.69,18048.33282,29.8,15,66.7,2.4
CITY OF LAS PIÑAS,3/13/2020,5,"590,000.00",32.69,18048.33282,29.1,14,64.8,4.7
CITY OF LAS PIÑAS,4/18/2020,2,"590,000.00",32.69,18048.33282,28.8,9,74,3.7
CITY OF LAS PIÑAS,3/22/2020,4,"590,000.00",32.69,18048.33282,29,7,69.2,1.4
CITY OF LAS PIÑAS,3/8/2020,3,"590,000.00",32.69,18048.33282,28.8,12,78,5
CITY OF LAS PIÑAS,4/24/2020,1,"590,000.00",32.69,18048.33282,30.4,16,66.1,6
CITY OF LAS PIÑAS,5/5/2020,1,"590,000.00",32.69,18048.33282,31.5,10,69.2,3.2
CITY OF LAS PIÑAS,3/14/2020,3,"590,000.00",32.69,18048.33282,28.8,16,70,4.8
CITY OF LAS PIÑAS,4/3/2020,7,"590,000.00",32.69,18048.33282,29.1,13,61.6,1.9
CITY OF LAS PIÑAS,3/15/2020,4,"590,000.00",32.69,18048.33282,27.7,11,70,3.4
CITY OF LAS PIÑAS,4/6/2020,3,"590,000.00",32.69,18048.33282,29.1,13,67.1,6
CITY OF LAS PIÑAS,4/16/2020,1,"590,000.00",32.69,18048.33282,29.2,19,75,6
