Date,Country,City,Specie,count,min,max,median,variance
4/12/2020,PH,Manila,pm10,48,2,116,19,5904.25
4/13/2020,PH,Manila,pm10,48,2,105,17,5694.78
4/14/2020,PH,Manila,pm10,46,2,49,7,1185.07
4/15/2020,PH,Manila,pm10,48,4,83,16,5127.8
4/16/2020,PH,Manila,pm10,48,2,105,19,7180.31
4/17/2020,PH,Manila,pm10,47,2,208,11,9917.36
4/18/2020,PH,Manila,pm10,48,2,105,9,7604.24
4/19/2020,PH,Manila,pm10,48,2,75,10,3552.66
4/20/2020,PH,Manila,pm10,48,2,804,13,132117
4/21/2020,PH,Manila,pm10,48,2,75,9,3211.59
4/22/2020,PH,Manila,pm10,30,2,285,27,31975.6
4/23/2020,PH,Manila,pm10,24,11,57,21,1675.2
4/24/2020,PH,Manila,pm10,32,2,58,16,2717.26
4/25/2020,PH,Manila,pm10,47,2,54,9,2405.15
4/26/2020,PH,Manila,pm10,45,2,76,9,4581.95
4/27/2020,PH,Manila,pm10,48,1,143,6,6967.41
4/28/2020,PH,Manila,pm10,48,2,66,14,2827.87
4/29/2020,PH,Manila,pm10,47,2,129,9,8659.49
4/30/2020,PH,Manila,pm10,47,2,80,8,3719.07
5/1/2020,PH,Manila,pm10,48,2,66,11,4154.47
5/2/2020,PH,Manila,pm10,48,2,59,10,2941.26
5/3/2020,PH,Manila,pm10,47,2,354,11,32964.6
5/4/2020,PH,Manila,pm10,48,2,71,8,3516.1
5/5/2020,PH,Manila,pm10,48,2,74,10,4306.95
5/6/2020,PH,Manila,pm10,48,2,895,16,228882
5/7/2020,PH,Manila,pm10,45,2,713,14,119888
5/8/2020,PH,Manila,pm10,43,2,404,14,43768.3
5/9/2020,PH,Manila,pm10,36,2,131,22,10463.6
5/10/2020,PH,Manila,pm10,23,5,83,60,6057.19
5/11/2020,PH,Manila,pm10,23,7,121,50,5993.6
5/12/2020,PH,Manila,pm10,18,2,72,30,4309.97
5/15/2020,PH,Manila,pm10,5,20,123,42,21607
5/16/2020,PH,Manila,pm10,24,2,92,26,6593.62
5/17/2020,PH,Manila,pm10,24,6,230,39,25264.1
5/18/2020,PH,Manila,pm10,20,4,175,56,13770.4
5/19/2020,PH,Manila,pm10,22,14,113,52,5881.41
5/20/2020,PH,Manila,pm10,5,23,44,38,905
